,Paragraph
105,"Zwar scheint es, als widerspreche dieses allen Bemerkungen, die man
jederzeit über den Gang unseres Verstandesgebrauchs gemacht hat, nach
welchen wir nur allererst durch die wahrgenommenen und verglichenen
übereinstimmenden Folgen vieler Begebenheiten auf vorhergehende
Erscheinungen, eine Regel zu entdecken, geleitet worden, der gemäß
gewisse Begebenheiten auf gewisse Erscheinungen jederzeit folgen,
und dadurch zuerst veranlaßt worden, uns den Begriff von Ursache zu
machen. Auf solchen Fuß würde dieser Begriff bloß empirisch sein, und
die Regel, die er verschafft, daß alles, was geschieht, eine Ursache
habe, würde ebenso zufällig sein, als die Erfahrung selbst: seine
Allgemeinheit und Notwendigkeit wären alsdann nur angedichtet, und
hätten keine wahre allgemeine Gültigkeit, weil sie nicht a priori,
sondern nur auf Induktion gegründet wären. Es geht aber hiemit so, wie
mit anderen reinen Vorstellungen a priori, (z.B. Raum und Zeit) die
wir darum allein aus der Erfahrung als klare Begriffe herausziehen
können, weil wir sie in die Erfahrung gelegt hatten, und diese daher
durch jene allererst zustande brachten. Freilich ist die logische
Klarheit dieser Vorstellung, einer die Reihe der Begebenheiten
bestimmenden Regel, als eines Begriffs von Ursache, nur alsdann
möglich, wenn wir davon in der Erfahrung Gebrauch gemacht haben, aber
eine Rücksicht auf dieselbe, als Bedingung der synthetischen Einheit
der Erscheinungen in der Zeit, war doch der Grund der Erfahrung
selbst, und ging also a priori vor ihr vorher."
106,"Es kommt also darauf an, im Beispiele zu zeigen, daß wir niemals
selbst in der Erfahrung die Folge (einer Begebenheit, da etwas
geschieht, was vorher nicht war) dem Objekt beilegen, und sie von der
subjektiven unserer Apprehension unterscheiden, als wenn eine Regel
zum Grunde liegt, die uns nötigt, diese Ordnung der Wahrnehmungen
vielmehr als eine andere zu beobachten, ja daß diese Nötigung es
eigentlich sei, was die Vorstellung einer Sukzession im Objekt
allererst möglich macht."
107,"Wir haben Vorstellungen in uns, deren wir uns auch bewußt werden
können. Dieses Bewußtsein aber mag so weit erstreckt, und so genau
oder pünktlich sein, als man wolle, so bleiben es doch nur immer
Vorstellungen, d.i.# innere Bestimmungen unseres Gemüts in diesem
oder jenem Zeitverhältnisse. Wie kommen wir nun dazu, daß wir diesen
Vorstellungen ein Objekt setzen, oder über ihre subjektive Realität,
als Modifikationen, ihnen noch, ich weiß nicht, was für eine,
objektive beilegen? Objektive Bedeutung kann nicht in der Beziehung
auf eine andere Vorstellung (von dem, was man vom Gegenstande nennen
wollte) bestehen, denn sonst erneuert sich die Frage: wie geht diese
Vorstellung wiederum aus sich selbst heraus, und bekommt objektive
Bedeutung noch über die subjektive, welche ihr, als Bestimmung des
Gemütszustandes, eigen ist? Wenn wir untersuchen, was denn die
Beziehung auf einen Gegenstand unseren Vorstellungen für eine neue
Beschaffenheit gebe, und welches die Dignität sei, die sie dadurch
erhalten, so finden wir, daß sie nichts weiter tue, als die Verbindung
der Vorstellungen auf eine gewisse Art notwendig zu machen, und sie
einer Regel zu unterwerfen; daß umgekehrt nur dadurch, daß eine
gewisse Ordnung in dem Zeitverhältnisse unserer Vorstellungen
notwendig ist, ihnen objektive Bedeutung erteilt wird."
108,"In der Synthesis der Erscheinungen folgt das Mannigfaltige der
Vorstellungen jederzeit nacheinander. Hiedurch wird nun gar kein
Objekt vorgestellt; weil durch diese Folge, die allen Apprehensionen
gemein ist, nichts vom anderen unterschieden wird. Sobald ich aber
wahrnehme, oder voraus annehme, daß in dieser Folge eine Beziehung auf
den vorhergehenden Zustand sei, aus welchem die Vorstellung nach einer
Regel folgt, so stellt sich etwas vor als Begebenheit, oder was da
geschieht, d.i.# ich erkenne einen Gegenstand, den ich in der Zeit
auf eine gewisse bestimmte Stelle setzen muß, die ihm, nach dem
vorhergehenden Zustande, nicht anders erteilt werden kann. Wenn ich
also wahrnehme, daß etwas geschieht, so ist in dieser Vorstellung
erstlich enthalten: daß etwas vorhergehe, weil eben in Beziehung auf
dieses die Erscheinung ihre Zeitverhältnis bekommt, nämlich, nach
einer vorhergehenden Zeit, in der sie nicht war, zu existieren. Aber
ihre bestimmte Zeitstelle in diesem Verhältnisse kann sie nur dadurch
bekommen, daß im vorhergehenden Zustande etwas vorausgesetzt wird,
worauf es jederzeit, d.i.# nach einer Regel, folgt: woraus sich denn
ergibt, daß ich erstlich nicht die Reihe umkehren, und das, was
geschieht, demjenigen voransetzen kann, worauf es folgt: zweitens
daß, wenn der Zustand, der vorhergeht, gesetzt wird, diese bestimmte
Begebenheit unausbleiblich und notwendig folge. Dadurch geschieht es:
daß eine Ordnung unter unseren Vorstellungen wird, in welcher das
Gegenwärtige (sofern es geworden) auf irgendeinen vorhergehenden
Zustand Anweisung gibt, als ein, obzwar noch unbestimmtes Korrelatum
dieser Ereignis, die gegeben ist, welches sich aber auf diese, als
seine Folge, bestimmend bezieht, und sie notwendig mit sich in der
Zeitreihe verknüpft."
109,"Wenn es nun ein notwendiges Gesetz unserer Sinnlichkeit, mithin eine
formale Bedingung aller Wahrnehmungen ist: daß die vorige Zeit die
folgende notwendig bestimmt (indem ich zur folgenden nicht anders
gelangen kann, als durch die vorhergehende); so ist es auch ein
unentbehrliches Gesetz der empirischen Vorstellung der Zeitreihe, daß
die Erscheinungen der vergangenen Zeit jedes Dasein in der folgenden
bestimmen, und daß diese, als Begebenheiten, nicht stattfinden, als
sofern jene ihnen ihr Dasein in der Zeit bestimmen, d.i.# nach einer
Regel festsetzen. Denn nur an den Erscheinungen können wir diese
Kontinuität im Zusammenhange der Zeiten empirisch erkennen."
110,"Zu aller Erfahrung und deren Möglichkeit gehört Verstand, und das
erste, was er dazu tut, ist nicht: daß er die Vorstellung der
Gegenstände deutlich macht, sondern daß er die Vorstellung eines
Gegenstandes überhaupt möglich macht. Dieses geschieht nun dadurch,
daß er die Zeitordnung auf die Erscheinungen und deren Dasein
überträgt, indem er jeder derselben als Folge eine, in Ansehung der
vorhergehenden Erscheinungen, a priori bestimmte Stelle in der Zeit
zuerkennt, ohne welche sie nicht mit der Zeit selbst, die allen ihren
Teilen a priori ihre Stelle bestimmt, übereinkommen würde. Diese
Bestimmung der Stelle kann nun nicht von dem Verhältnis der
Erscheinungen gegen die absolute Zeit entlehnt werden, (denn die ist
kein Gegenstand der Wahrnehmung,) sondern umgekehrt, die Erscheinungen
müssen einander ihre Stellen in der Zeit selbst bestimmen, und
dieselbe in der Zeitordnung notwendig machen, d.i.# dasjenige, was da
folgt, oder geschieht, muß nach einer allgemeinen Regel auf das, was
im vorigen Zustande enthalten war, folgen, woraus eine Reihe der
Erscheinungen wird, die vermittelst des Verstandes eben dieselbige
Ordnung und stetigen Zusammenhang in der Reihe möglicher Wahrnehmungen
hervorbringt, und notwendig macht, als sie in der Form der inneren
Anschauung, (der Zeit) darin alle Wahrnehmungen ihre Stelle haben
müßten, a priori angetroffen wird."
111,"Daß also etwas geschieht, ist eine Wahrnehmung, die zu einer möglichen
Erfahrung gehört, die dadurch wirklich wird, wenn ich die Erscheinung,
ihrer Stelle nach, in der Zeit, als bestimmt, mithin als ein Objekt
ansehe, welches nach einer Regel im Zusammenhange der Wahrnehmungen
jederzeit gefunden werden kann. Diese Regel aber, etwas der Zeitfolge
nach zu bestimmen, ist: daß in dem, was vorhergeht, die Bedingung
anzutreffen sei, unter welcher die Begebenheit jederzeit (d.i.#
notwendigerweise) folgt. Also ist der Satz vom zureichenden Grunde
der Grund möglicher Erfahrung, nämlich der objektiven Erkenntnis der
Erscheinungen, in Ansehung des Verhältnisses derselben, in Reihenfolge
der Zeit."
112,"Der Beweisgrund dieses Satzes aber beruht lediglich auf folgenden
Momenten. Zu aller empirischen Erkenntnis gehört die Synthesis des
Mannigfaltigen durch die Einbildungskraft, die jederzeit sukzessiv
ist; d.i.# die Vorstellungen folgen in ihr jederzeit aufeinander. Die
Folge aber ist in der Einbildungskraft der Ordnung nach (was vorgehen
und was folgen müsse) gar nicht bestimmt, und die Reihe der einen
der folgenden Vorstellungen kann ebensowohl rückwärts als vorwärts
genommen werden. Ist aber diese Synthesis eine Synthesis der
Apprehension (des Mannigfaltigen einer gegebenen Erscheinung), so ist
die Ordnung im Objekt bestimmt, oder, genauer zu reden, es ist darin
eine Ordnung der sukzessiven Synthesis, die ein Objekt bestimmt, nach
welcher etwas notwendig vorausgehen, und wenn dieses gesetzt ist,
das andere notwendig folgen müsse. Soll also meine Wahrnehmung die
Erkenntnis einer Begebenheit enthalten, da nämlich etwas wirklich
geschieht; so muß sie ein empirisches Urteil sein, in welchem man
sich denkt, daß die Folge bestimmt sei, d.i.# daß sie eine andere
Erscheinung der Zeit nach voraussetze, worauf sie notwendig, oder nach
einer Regel folgt. Widrigenfalls, wenn ich das Vorhergehende setze,
und die Begebenheit folgte nicht darauf notwendig, so würde ich sie
nur für ein subjektives Spiel meiner Einbildungen halten müssen, und
stellte ich mir darunter doch etwas Objektives vor, sie einen bloßen
Traum nennen. Also ist das Verhältnis der Erscheinungen (als möglicher
Wahrnehmungen), nach welchem das Nachfolgende (was geschieht) durch
etwas Vorhergehendes seinem Dasein nach notwendig, und nach einer
Regel in der Zeit bestimmt ist, mithin das Verhältnis der Ursache zur
Wirkung die Bedingung der objektiven Gültigkeit unserer empirischen
Urteile, in Ansehung der Reihe der Wahrnehmungen, mithin der
empirischen Wahrheit derselben, und also der Erfahrung. Der Grundsatz
des Kausalverhältnisses in der Folge der Erscheinungen gilt daher
auch vor allen Gegenständen der Erfahrung (unter den Bedingungen der
Sukzession), weil er selbst der Grund der Möglichkeit einer solchen
Erfahrung ist."
113,"Hier äußert sich aber noch eine Bedenklichkeit, die gehoben werden
muß. Der Satz der Kausalverknüpfung unter den Erscheinungen ist in
unserer Formel auf die Reihenfolge derselben eingeschränkt, da es
sich doch bei dem Gebrauch desselben findet, daß er auch auf ihre
Begleitung passe, und Ursache und Wirkung zugleich sein könne. Es ist
z.B. Wärme im Zimmer, die nicht in freier Luft angetroffen wird. Ich
sehe mich nach der Ursache um, und finde einen geheizten Ofen. Nun ist
dieser, als Ursache, mit seiner Wirkung, der Stubenwärme, zugleich;
also ist hier keine Reihenfolge, der Zeit nach, zwischen Ursache und
Wirkung, sondern sie sind zugleich, und das Gesetz gilt doch. Der
größte Teil der wirkenden Ursache in der Natur ist mit ihren Wirkungen
zugleich, und die Zeitfolge der letzteren wird nur dadurch veranlaßt,
daß die Ursache ihre ganze Wirkung nicht in einem Augenblick
verrichten kann. Aber in dem Augenblicke, da sie zuerst entsteht, ist
sie mit der Kausalität ihrer Ursache jederzeit zugleich, weil, wenn
jene einen Augenblick vorher aufgehört hätte zu sein, diese gar nicht
entstanden wäre. Hier muß man wohl bemerken, daß es auf die Ordnung
der Zeit, und nicht auf den Ablauf derselben angesehen sei; das
Verhältnis bleibt, wenngleich keine Zeit verlaufen ist. Die Zeit
zwischen der Kausalität der Ursache, und deren unmittelbaren Wirkung,
kann verschwindend (sie also zugleich) sein, aber das Verhältnis der
einen zur anderen bleibt doch immer, der Zeit nach, bestimmbar. Wenn
ich eine Kugel, die auf einem ausgestopften Kissen liegt, und ein
Grübchen darin drückt, als Ursache betrachte, so ist sie mit der
Wirkung zugleich. Allein ich unterscheide doch beide durch das
Zeitverhältnis der dynamischen Verknüpfung beider. Denn, wenn ich die
Kugel auf das Kissen lege, so folgt auf die vorige glatte Gestalt
desselben das Grübchen; hat aber das Kissen (ich weiß nicht woher) ein
Grübchen, so folgt darauf nicht eine bleierne Kugel."
114,"Demnach ist die Zeitfolge allerdings das einzige empirische Kriterium
der Wirkung, in Beziehung auf die Kausalität der Ursache, die
vorhergeht. Das Glas ist die Ursache von dem Steigen des Wassers über
seine Horizontalfläche, obgleich beide Erscheinungen zugleich sind.
Denn sobald ich dieses aus einem größeren Gefäß mit dem Glase schöpfe,
so erfolgt etwas, nämlich die Veränderung des Horizontalstandes, den
es dort hatte, in einen konkaven, den es im Glase annimmt."
115,"Diese Kausalität führt auf den Begriff der Handlung, diese auf den
Begriff der Kraft, und dadurch auf den Begriff der Substanz. Da ich
mein kritisches Vorhaben, welches lediglich auf die Quellen der
synthetischen Erkenntnis a priori geht, nicht mit Zergliederungen
bemengen will, die bloß die Erläuterung (nicht Erweiterung) der
Begriffe angehen, so überlasse ich die umständliche Erörterung
derselben einem künftigen System der reinen Vernunft: wiewohl man eine
solche Analysis im reichen Maße, auch schon in den bisher bekannten
Lehrbüchern dieser Art, antrifft. Allein das empirische Kriterium
einer Substanz, sofern sie sich nicht durch die Beharrlichkeit der
Erscheinung, sondern besser und leichter durch Handlung zu offenbaren
scheint, kann ich nicht unberührt lassen."
116,"Wo Handlung, mithin Tätigkeit und Kraft ist, da ist auch Substanz,
und in dieser allein muß der Sitz jener fruchtbaren Quelle der
Erscheinungen gesucht werden. Das ist ganz gut gesagt; aber, wenn man
sich darüber erklären soll, was man unter Substanz verstehe, und dabei
den fehlerhaften Zirkel vermeiden will, so ist es nicht so leicht
verantwortet. Wie will man aus der Behandlung sogleich auf die
Beharrlichkeit des Handelnden schließen, welches doch ein so
wesentliches und eigentümliches Kennzeichen der Substanz (phaenomenon)
ist? Allein, nach unserem vorigen hat die Auflösung der Frage doch
keine solche Schwierigkeit, ob sie gleich nach der gemeinen Art (bloß
analytisch mit seinen Begriffen zu verfahren) ganz unauflöslich
sein würde. Handlung bedeutet schon das Verhältnis des Subjekts der
Kausalität zur Wirkung. Weil nun alle Wirkung in dem besteht, was da
geschieht, mithin im Wandelbaren, was die Zeit der Sukzession nach
bezeichnet; so ist das letzte Subjekt desselben das Beharrliche, als
das Substratum alles Wechselnden, d.i.# die Substanz. Denn nach dem
Grundsatze der Kausalität sind Handlungen immer der erste Grund von
allem Wechsel der Erscheinungen, und können also nicht in einem
Subjekt liegen, was selbst wechselt, weil sonst andere Handlungen und
ein anderes Subjekt, welches diesen Wechsel bestimmte, erforderlich
wären. Kraft dessen beweist nun Handlung, als ein hinreichendes
empirisches Kriterium, die Substantialität, ohne daß ich die
Beharrlichkeit desselben durch verglichene Wahrnehmungen allererst
zu suchen nötig hätte, welches auch auf diesem Wege mit der
Ausführlichkeit nicht geschehen könnte, die zu der Größe und strengen
Allgemeingültigkeit des Begriffs erforderlich ist. Denn daß das erste
Subjekt der Kausalität alles Entstehens und Vergehens selbst nicht
(im Felde der Erscheinungen) entstehen und vergehen könne, ist ein
sicherer Schluß, der auf empirische Notwendigkeit und Beharrlichkeit
im Dasein, mithin auf den Begriff einer Substanz als Erscheinung
ausläuft."
117,"Wenn etwas geschieht, so ist das bloße Entstehen, ohne Rücksicht
auf das, was da entsteht, schon an sich selbst ein Gegenstand der
Untersuchung. Der Übergang aus dem Nichtsein eines Zustandes in diesen
Zustand, gesetzt, daß dieser auch keine Qualität in der Erscheinung
enthielte, ist schon allein nötig zu untersuchen. Dieses Entstehen
trifft, wie in der Nummer A gezeigt worden, nicht die Substanz
(denn die entsteht nicht), sondern ihren Zustand. Es ist also bloß
Veränderung, und nicht Ursprung aus Nichts. Wenn dieser Ursprung
als Wirkung von einer fremden Ursache angesehen wird, so heißt er
Schöpfung, welche als Begebenheit unter den Erscheinungen nicht
zugelassen werden kann, indem ihre Möglichkeit allein schon die
Einheit der Erfahrung aufheben würde, obzwar, wenn ich alle Dinge
nicht als Phänomene, sondern als Dinge an sich betrachte, und als
Gegenstände des bloßen Verstandes, sie, obschon sie Substanzen sind,
dennoch wie abhängig ihrem Dasein nach von fremder Ursache angesehen
werden können; welches aber alsdann ganz andere Wortbedeutungen nach
sich ziehen, und auf Erscheinungen, als mögliche Gegenstände der
Erfahrung, nicht passen würde."
